state,dataset,recovery_unit,core_area,popn_stream,metric,source,year,value
OR,6,Coastal,Lower Deschutes River,Jefferson/Candle complex,abundance,redd_counts,2016,149
OR,6,Coastal,Lower Deschutes River,Jefferson/Candle complex,abundance,redd_counts,2017,133
OR,6,Coastal,Lower Deschutes River,Jefferson/Candle complex,abundance,redd_counts,2018,131
OR,6,Coastal,Lower Deschutes River,Jefferson/Candle complex,abundance,redd_counts,2019,153
OR,6,Coastal,Lower Deschutes River,Jefferson/Candle complex,abundance,redd_counts,2020,NA
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1986,15
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1987,31
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1988,61
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1989,89
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1990,100
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1991,72
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1992,126
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1993,137
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1994,219
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1995,150
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1996,165
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1997,129
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1998,103
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,1999,197
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2000,348
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2001,469
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2002,418
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2003,600
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2004,735
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2005,650
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2006,631
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2007,394
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2008,309
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2009,350
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2010,440
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2011,415
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2012,422
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2013,319
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2014,450
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2015,397
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2016,483
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2017,390
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2018,459
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2019,556
OR,7,Coastal,Lower Deschutes River,Canyon/Jack/Heising Spring complex,abundance,redd_counts,2020,NA
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1994,1
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1995,0
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1996,8
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1997,1
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1998,12
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,1999,24
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2000,12
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2001,11
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2002,4
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2003,17
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2004,12
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2005,14
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2006,NA
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2007,11
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2008,8
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2009,12
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2010,13
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2011,11
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2012,15
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2013,12
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2014,15
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2015,6
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2016,8
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2017,5
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2018,5
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2019,4
OR,8,Coastal,Odell Lake,Trapper Creek,abundance,redd_counts,2020,2
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1994,29
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1995,19
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1996,28
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1997,32
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1998,81
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,1999,144
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2000,128
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2001,99
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2002,48
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2003,43
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2004,45
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2005,28
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2006,25
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2007,12
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2008,19
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2009,6
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2010,13
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2011,12
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2012,15
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2013,19
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2014,22
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2015,17
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2016,9
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2017,19
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2018,30
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2019,15
OR,10,Mid-Columbia,Umatilla River,North Fork Umatilla River,abundance,redd_counts,2020,22
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1994,101
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1995,62
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1996,142
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1997,118
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1998,223
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,1999,304
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2000,292
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2001,383
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2002,198
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2003,186
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2004,198
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2005,170
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2006,126
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2007,128
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2008,89
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2009,131
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2010,133
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2011,122
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2012,110
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2013,100
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2014,82
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2015,70
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2016,NA
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2017,54
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2018,33
OR,11,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,redd_counts,2019,40
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2002,32
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2003,27
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2004,36
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2005,68
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2006,112
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2007,60
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2008,55
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2009,136
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2010,90
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2011,416
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2012,229
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2013,158
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2014,113
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2015,84
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2016,94
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2017,198
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2018,128
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2019,108
OR,12,Mid-Columbia,Walla Walla River,South Fork Walla Walla River,abundance,dam_counts,2020,121
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1990,66
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1991,31
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1992,60
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1993,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1994,119
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1995,84
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1996,56
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1997,51
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1998,59
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,1999,71
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2000,80
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2001,110
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2002,104
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2003,65
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2004,62
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2005,43
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2006,36
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2007,50
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2008,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2009,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2010,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2011,79
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2012,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2013,NA
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2014,37
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2015,44
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2016,59
OR,13,Mid-Columbia,Walla Walla River,Mill Creek,abundance,redd_counts,2017,72
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,1998,33
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,1999,11
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2000,28
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2001,25
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2002,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2003,2
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2004,24
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2005,11
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2006,3
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2007,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2008,2
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2009,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2010,11
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2011,8
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2012,25
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2013,15
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2014,22
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2015,34
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2016,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2017,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2018,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2019,NA
OR,14,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,redd_counts,2020,10
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,1999,1
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2000,1
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2001,1
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2002,3
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2003,5
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2004,7
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2005,5
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2006,1
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2007,5
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2008,4
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2009,14
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2010,31
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2011,35
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2012,56
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2013,52
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2014,33
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2015,30
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2016,23
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2017,29
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2018,32
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2019,27
OR,15,Mid-Columbia,Upper Grande Ronde,Catherine Creek,abundance,weir,2020,7
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2009,0
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2010,12
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2011,9
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2012,1
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2013,0
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2014,NA
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2015,NA
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2016,2
OR,16,Mid-Columbia,Wallowa/Minam,Deer Creek,abundance,redd_counts,2017,0
OR,17,Mid-Columbia,Wallowa/Minam,Lostine River,abundance,redd_counts,1999,39
OR,17,Mid-Columbia,Wallowa/Minam,Lostine River,abundance,redd_counts,2000,33
